Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Ken McDonald ** Liberal/Libéral","Conception Bay South, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",18608,50.1,      5870,  15.8
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Matthew Chapman Conservative/Conservateur","Paradise, N.L./ T.-N.-L.","Teacher/Enseignant",12738,34.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Carolyn Davis NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Portugal Cove-St. Philip's, N.L./ T.-N.-L.","Claims Representative/Représentante en réclamations",5151,13.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Lainie Stewart People's Party - PPC/Parti populaire - PPC","Mount Pearl, N.L./ T.-N.-L.","Business Owner/Propriétaire d'entreprise",647,1.7,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Churence Rogers ** Liberal/Libéral","Centreville, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",13972,46.6,      1694,   5.6
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Sharon Vokey Conservative/Conservateur","Trinity, N.L./ T.-N.-L.","Hotel General Manager/Directrice générale d'hôtel",12278,40.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Anne Marie Anonsen NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Retired/À la retraite",2484,8.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Linda Hogan People's Party - PPC/Parti populaire - PPC","Port Union, N.L./ T.-N.-L.","Retired/À la retraite",1257,4.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Clifford Small Conservative/Conservateur","Paradise, N.L./ T.-N.-L.","Restaurateur/Restaurateur",14927,46.9,       281,   0.9
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Scott Simms ** Liberal/Libéral","Norris Arm, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",14646,46,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Jamie Ruby NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Self-Employed/Travailleur indépendant",2261,7.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Yvonne Jones ** Liberal/Libéral","Mary's Harbour, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",4119,42.7,      1189,  12.3
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Shane Dumaresque Conservative/Conservateur","Forteau, N.L./ T.-N.-L.","Business Owner/Propriétaire d'entreprise",2930,30.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Amy Norman NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Happy Valley-Goose Bay, N.L./ T.-N.-L.","Pharmacy Assistant/Assistante en pharmacie",2297,23.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Shannon Champion People's Party - PPC/Parti populaire - PPC","Wabush, N.L./ T.-N.-L.","IST Business Partner Rio Tinto/Partenaire commercial IST – Rio Tinto",307,3.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains","10005","Gudie Hutchings ** Liberal/Libéral","Little Rapids, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",16178,44.4,      1834,   5.0
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains","10005","Carol Anstey Conservative/Conservateur","Deer Lake, N.L./ T.-N.-L.","Business Owner/Propriétaire d'entreprise",14344,39.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains","10005","Kaila Mintz NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Corner Brook, N.L./ T.-N.-L.","Senior Advisor/Conseillère-cadre",4347,11.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Long Range Mountains","10005","Darrell Shelley People's Party - PPC/Parti populaire - PPC","Stephenville, N.L./ T.-N.-L.","Business Owner/Propriétaire d'entreprise",1578,4.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Joanne Thompson Liberal/Libéral","St. John's, N.L./ T.-N.-L.","Business Owner/Propriétaire d'entreprise",17239,45.2,      4149,  10.9
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Mary Shortall NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Labour Representative/Représentante syndicale ",13090,34.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Glenn Etchegary Conservative/Conservateur","St. John's, N.L./ T.-N.-L.","Businessman/Homme d'affaires",7119,18.7,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","10006","Dana Metcalfe People's Party - PPC/Parti populaire - PPC","Portugal Cove-St. Philip's, N.L./ T.-N.-L.","Self-Employed Stylist/Styliste indépendante",723,1.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Seamus O'Regan ** Liberal/Libéral","St. John's, N.L./ T.-N.-L.","Journalist/Journaliste",19478,56.2,     11365,  32.8
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Ray Critch NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Lawyer/Avocat",8113,23.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Steve Hodder Conservative/Conservateur","Conception Bay South, N.L./ T.-N.-L.","Realtor/Courtier immobilier",6447,18.6,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","10007","Georgia Faith Stewart People's Party - PPC/Parti populaire - PPC","Mount Pearl, N.L./ T.-N.-L.","Bakery Manager/Gérante de boulangerie",638,1.8,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Lawrence MacAulay ** Liberal/Libéral","St. Peters, P.E.I./ Î.-P.-É.","Farmer/Politician/Agriculteur et politicien",11175,50.6,      4358,  19.7
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Wayne Phelan Conservative/Conservateur","Stratford, P.E.I./ Î.-P.-É.","Entrepreneur/Entrepreneur",6817,30.9,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Lynne Thiele NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Stratford, P.E.I./ Î.-P.-É.","Retired Teacher/Enseignante à la retraite",2168,9.8,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Michael MacLean Green Party/Parti Vert","St. Peters Bay, P.E.I./ Î.-P.-É.","Retired/À la retraite",1064,4.8,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Kevin Hardy People's Party - PPC/Parti populaire - PPC","Crapaud, P.E.I./ Î.-P.-É.","Labourer (Infrastructure)/Manœuvre (infrastructure)",725,3.3,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","11001","Fred MacLeod Christian Heritage Party/Parti de l'Héritage Chrétien","Belle River, P.E.I./ Î.-P.-É.","Golf Course Maintenance Worker/Préposé à l'entretien d'un terrain de golf",145,.7,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","11002","Sean Casey ** Liberal/Libéral","Charlottetown, P.E.I./ Î.-P.-É.","Parliamentarian/Parlementaire",8919,46.7,      2987,  15.6
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","11002","Doug Currie Conservative/Conservateur","Charlottetown, P.E.I./ Î.-P.-É.","Vice President/Vice-président",5932,31.1,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","11002","Margaret Andrade NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Bristol, P.E.I./ Î.-P.-É.","Business Owner/Propriétaire d'entreprise",2048,10.7,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","11002","Darcie Lanthier Green Party/Parti Vert","Charlottetown, P.E.I./ Î.-P.-É.","Energy Systems Specialist/Spécialiste de systèmes énergétiques",1832,9.6,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","11002","Scott McPhee People's Party - PPC/Parti populaire - PPC","Summerside, P.E.I./ Î.-P.-É.","Resident Care Worker/Aide-soignant en établissement",369,1.9,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","11003","Bobby Morrissey ** Liberal/Libéral","Tignish, P.E.I./ Î.-P.-É.","Parliamentarian/Parlementaire",9040,46.2,      2952,  15.1
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","11003","Barry Balsom Conservative/Conservateur","Arlington, P.E.I./ Î.-P.-É.","Agro-Business/Agroentreprise",6088,31.1,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","11003","Alex Clark Green Party/Parti Vert","Summerside, P.E.I./ Î.-P.-É.","Self-Employed/Travailleur indépendant",1771,9.1,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","11003","Lisa Bradshaw NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Summerside, P.E.I./ Î.-P.-É.","Dental Assistant/Assistante dentaire",1688,8.6,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","11003","Wayne Biggar People's Party - PPC/Parti populaire - PPC","Summerside, P.E.I./ Î.-P.-É.","Realtor/Courtier immobilier",974,5,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","11004","Heath MacDonald Liberal/Libéral","Cornwall, P.E.I./ Î.-P.-É.","Legislator/Législateur",9912,41.8,      2076,   8.8
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","11004","Jody Sanderson Conservative/Conservateur","Cornwall, P.E.I./ Î.-P.-É.","Business Owner/Propriétaire d'entreprise",7836,33.1,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","11004","Anna Keenan Green Party/Parti Vert","St-Ann's, P.E.I./ Î.-P.-É.","Digital Organizing Manager/Responsable de l'organisation numérique",3381,14.3,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","11004","Michelle Neill NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Oyster Bed Bridge, P.E.I./ Î.-P.-É.","Federal Public Servant/Fonctionnaire fédérale",1898,8,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","11004","Christopher Landry People's Party - PPC/Parti populaire - PPC","Clyde River, P.E.I./ Î.-P.-É.","Plumber/Plombier",680,2.9,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","12001","Mike Kelloway ** Liberal/Libéral","Sydney, N.S./ N.-É.","Community Innovation Lead/Responsable de l'innovation communautaire",18288,46.5,      4483,  11.4
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","12001","Fiona MacLeod Conservative/Conservateur","Inverness, N.S./ N.-É.","Retired/À la retraite",13805,35.1,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","12001","Jana Reddick NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Glace Bay, N.S./ N.-É.","Career Practitioner/Praticienne de carrière",5618,14.3,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","12001","Brad Grandy People's Party - PPC/Parti populaire - PPC","Meaghers Grant, N.S./ N.-É.","Electrician/Électricien",1649,4.2,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Sean Fraser ** Liberal/Libéral","New Glasgow, N.S./ N.-É.","Parliamentarian/Parlementaire",18682,46.2,      5622,  13.9
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Steven Cotter Conservative/Conservateur","Trenton, N.S./ N.-É.","School Bus Driver/Chauffeur d'autobus scolaire",13060,32.3,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Betsy MacDonald NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Antigonish, N.S./ N.-É.","Outreach and Communications Officer/Agente de liaison et de communications",6225,15.4,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Al Muir People's Party - PPC/Parti populaire - PPC","Plymouth, N.S./ N.-É.","Self-Employed/Travailleur indépendant",1445,3.6,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Katerina Nikas Green Party/Parti Vert","Halifax, N.S./ N.-É.","Writer/Rédactrice",494,1.2,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Harvey Henderson Independent/Indépendant(e)","River John, N.S./ N.-É.","Retired/À la retraite",365,.9,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Chris Frazer Communist/Communiste","Antigonish, N.S./ N.-É.","Professor/Professeur",138,.3,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","12002","Ryan Smyth Parti Rhinocéros Party/Parti Rhinocéros Party","Antigonish, N.S./ N.-É.","Entrepreneur/Entrepreneur",65,.2,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Stephen Ellis Conservative/Conservateur","Truro, N.S./ N.-É.","Physician/Médecin",18601,46,      4779,  11.8
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Lenore Zann ** Liberal/Libéral","Truro, N.S./ N.-É.","Parliamentarian/Parlementaire",13822,34.2,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Daniel Osborne NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Amherst, N.S./ N.-É.","Student/Étudiant",4984,12.3,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Bill Archer People's Party - PPC/Parti populaire - PPC","Amherst, N.S./ N.-É.","Industrial Electrician/Électricien industriel",1687,4.2,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Jillian Foster Green Party/Parti Vert","Linden, N.S./ N.-É.","Veterinarian/Vétérinaire",1045,2.6,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester","12003","Jody O'Blenis Independent/Indépendant(e)","Amherst, N.S./ N.-É.","Custodian/Concierge",278,.7,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","12004","Darren Fisher ** Liberal/Libéral","Dartmouth, N.S./ N.-É.","Parliamentarian/Parlementaire",24209,53.1,      8942,  19.6
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","12004","Kevin Payne NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Dartmouth, N.S./ N.-É.","Service Technician/Technicien d'entretien",15267,33.5,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","12004","Michelle Lindsay People's Party - PPC/Parti populaire - PPC","Dartmouth, N.S./ N.-É.","Associate Trichologist/Trichologue associée",4781,10.5,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","12004","Rana Zaman Green Party/Parti Vert","Dartmouth, N.S./ N.-É.","Homemaker/Personne au foyer",1371,3,,
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","Andy Fillmore ** Liberal/Libéral","Halifax, N.S./ N.-É.","Parliamentarian/Parlementaire",21905,42.7,      1558,   3.0
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","Lisa Roberts NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Halifax, N.S./ N.-É.","Community Builder/Bâtisseuse communautaire",20347,39.7,,
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","Cameron Ells Conservative/Conservateur","Dartmouth, N.S./ N.-É.","Professional Engineer/Ingénieur",6601,12.9,,
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","Jo-Ann Roberts Green Party/Parti Vert","Halifax, N.S./ N.-É.","Journalist/Journaliste",1128,2.2,,
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","B. Alexander Hébert People's Party - PPC/Parti populaire - PPC","Lower Sackville, N.S./ N.-É.","Sales Clerk/Vendeur",1069,2.1,,
"Nova Scotia/Nouvelle-Écosse","Halifax","12005","Katie Campbell Communist/Communiste","Halifax, N.S./ N.-É.","Retired Artist/Artiste à la retraite",198,.4,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Lena Metlege Diab Liberal/Libéral","Halifax, N.S./ N.-É.","Lawyer/Avocate",24744,48.5,     12413,  24.3
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Jonathan Keith Roberts NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Halifax, N.S./ N.-É.","Professor/Professeur",12331,24.2,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Eleanor Humphries Conservative/Conservateur","Halifax, N.S./ N.-É.","Retired/À la retraite",11243,22,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Julie Scott People's Party - PPC/Parti populaire - PPC","Halifax, N.S./ N.-É.","Business Owner/Propriétaire d'entreprise",1447,2.8,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Richard Zurawski Green Party/Parti Vert","Halifax, N.S./ N.-É.","Writer/Auteur",1181,2.3,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","12006","Kevin Schulthies Christian Heritage Party/Parti de l'Héritage Chrétien","Halifax, N.S./ N.-É.","Graphic Designer/Graphiste",85,.2,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","12007","Kody Blois ** Liberal/Libéral","Lantz, N.S./ N.-É.","Parliamentarian/Parlementaire",20192,44.9,      6958,  15.5
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","12007","Mark Parent Conservative/Conservateur","Canning, N.S./ N.-É.","Clergy/Membre du clergé",13234,29.4,,
