Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","12007","Stephen Schneider NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Wolfville, N.S./ N.-É.","Professor/Professeur",8645,19.2,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","12007","Steven Ford People's Party - PPC/Parti populaire - PPC","Wolfville, N.S./ N.-É.","Student/Étudiant",1945,4.3,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","12007","Sheila G. Richardson Green Party/Parti Vert","Wolfville, N.S./ N.-É.","Continuing Care Assistant/Auxiliaire en soins continus",940,2.1,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook","12008","Darrell Samson ** Liberal/Libéral","Fall River, N.S./ N.-É.","Parliamentarian/Parlementaire",18838,41.3,      6791,  14.9
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook","12008","Angela Conrad Conservative/Conservateur","Beaver Bank, N.S./ N.-É.","Account Manager/Chargée de comptes",12047,26.4,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook","12008","Jenna Chisholm NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Middle Sackville, N.S./ N.-É.","Resolution Health Support Worker/Travailleuse autochtone de la santé communautaire",12012,26.3,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook","12008","Earl Gosse People's Party - PPC/Parti populaire - PPC","Eastern Passage, N.S./ N.-É.","Engineer/Ingénieur",1776,3.9,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Preston--Chezzetcook","12008","Anthony Edmonds Green Party/Parti Vert","Wellington, N.S./ N.-É.","Aerospace Engineer/Ingénieur en aérospatiale",933,2,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets","12009","Rick Perkins Conservative/Conservateur","Ingramport, N.S./ N.-É.","Retail Executive/Dirigeant, commerce de détail",20454,40.9,      1879,   3.8
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets","12009","Bernadette Jordan ** Liberal/Libéral","LaHave, N.S./ N.-É.","Parliamentarian/Parlementaire",18575,37.1,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets","12009","Olivia Dorey NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Mahone Bay, N.S./ N.-É.","Caregiver/Personne soignante",9541,19.1,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margarets","12009","Thomas Trappenberg Green Party/Parti Vert","Hatchet Lake, N.S./ N.-É.","Professor/Professeur",1434,2.9,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Jaime Battiste ** Liberal/Libéral","Eskasoni, N.S./ N.-É.","Parliamentarian/Parlementaire",14250,39.2,      1084,   3.0
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Eddie Orrell Conservative/Conservateur","North Sydney, N.S./ N.-É.","Physiotherapist/Physiothérapeute",13166,36.3,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Jeff Ward NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Membertou, N.S./ N.-É.","General Manager, Membertou Heritage Park/Directeur général, parc patrimonial Membertou",7217,19.9,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Ronald Angus Barron People's Party - PPC/Parti populaire - PPC","Sydney, N.S./ N.-É.","Industrial Mechanic/Mécanicien industriel",1176,3.2,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Mark Embrett Green Party/Parti Vert","Queensland, N.S./ N.-É.","Health Outcomes Scientist/Scientifique des résultats en matière de santé",376,1,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","12010","Nikki Boisvert Marxist-Leninist/Marxiste-Léniniste","Sydney, N.S./ N.-É.","Tattoo Artist/Tatoueuse",127,.3,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","12011","Chris d'Entremont ** Conservative/Conservateur","Ste. Anne du Ruisseau, N.S./ N.-É.","Parliamentarian/Parlementaire",22104,50.4,      8372,  19.1
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","12011","Alxys Chamberlain Liberal/Libéral","Halifax, N.S./ N.-É.","Executive Assistant/Adjointe de direction",13732,31.3,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","12011","Cheryl Burbidge NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Hampton, N.S./ N.-É.","Licensed Practical Nurse/Infirmière auxiliaire autorisée",5645,12.9,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","12011","Scott Spidle People's Party - PPC/Parti populaire - PPC","Kentville, N.S./ N.-É.","Unemployed/Sans emploi",2390,5.4,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Serge Cormier ** Liberal/Libéral","Caraquet, N.B./ N.-B.","Parliamentarian/Parlementaire",27817,64.8,     21901,  51.0
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Jean-Paul Lanteigne Conservative/Conservateur","Caraquet, N.B./ N.-B.","Retired/À la retraite",5916,13.8,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Mélissa Hébert NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Beresford, N.B./ N.-B.","Civil Engineering Technologist/Technologue en génie civil",4906,11.4,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Kenneth Edward Langford People's Party - PPC/Parti populaire - PPC","Caraquet, N.B./ N.-B.","Consultant/Consultant",2531,5.9,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Rachel Johns Green Party/Parti Vert","Edmonton, Alta./ Alb.","Legal Product Manager/Chef de produits du domaine juridique",1203,2.8,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","13001","Richer Doiron Free Party Canada/Parti Libre Canada","Bathurst, N.B./ N.-B.","Concierge/Concierge",549,1.3,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Dominic LeBlanc ** Liberal/Libéral","Grande-Digue, N.B./ N.-B.","Parliamentarian/Parlementaire",27313,55.6,     17787,  36.2
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Shelly Mitchell Conservative/Conservateur","Moncton, N.B./ N.-B.","Retired Police Officer/Policière à la retraite",9526,19.4,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Evelyne Godfrey NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Port Elgin, N.B./ N.-B.","University Assistant Professor/Professeure adjointe à l'université",5394,11,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Jack Minor People's Party - PPC/Parti populaire - PPC","Memramcook, N.B./ N.-B.","Retired/À la retraite",3723,7.6,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Stella Anna Girouard Green Party/Parti Vert","Sainte-Marie-de-Kent, N.B./ N.-B.","Writer/Auteure",2798,5.7,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","13002","Isabelle Sauriol Chiasson Free Party Canada/Parti Libre Canada","Dieppe, N.B./ N.-B.","Self-Employed/Travailleuse indépendante",391,.8,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Jenica Atwin ** Liberal/Libéral","Oromocto, N.B./ N.-B.","Parliamentarian/Parlementaire",16316,37,       502,   1.1
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Andrea Johnson Conservative/Conservateur","Fredericton, N.B./ N.-B.","Executive Director, PCNB/Directrice générale, PCNB",15814,35.9,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Nicole O'Byrne Green Party/Parti Vert","Fredericton, N.B./ N.-B.","Law Professor (UNB)/Professeure de droit (UNB)",5666,12.9,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Shawn Oldenburg NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Canterbury, N.B./ N.-B.","Postal Employee/Employé des postes",5564,12.6,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Jen Smith Independent/Indépendant(e)","Geary, N.B./ N.-B.","Human Resources Administrator/Administratrice des ressources humaines",310,.7,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","Brandon Kirby Libertarian/Libertarien","Fredericton, N.B./ N.-B.","Self-Employed/Travailleur indépendant",234,.5,,
"New Brunswick/Nouveau-Brunswick","Fredericton","13003","June Patterson Communist/Communiste","Fredericton, N.B./ N.-B.","Grocery Clerk/Commis d'épicerie",158,.4,,
"New Brunswick/Nouveau-Brunswick","Fundy Royal","13004","Rob Moore ** Conservative/Conservateur","Quispamsis, N.B./ N.-B.","Parliamentarian/Parlementaire",21460,48.4,     10385,  23.4
"New Brunswick/Nouveau-Brunswick","Fundy Royal","13004","Whitney Dykeman Liberal/Libéral","Moncton, N.B./ N.-B.","IM Consultant/Consultante en gestion de l'information",11075,25,,
