Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Quebec/Québec","Pierrefonds--Dollard","24056","Lisa Mintz Green Party/Parti Vert","Montréal, Que./ Qc","Librarian/Bibliothécaire",2866,5.2,,
"Quebec/Québec","Pierrefonds--Dollard","24056","Lee Weishar People's Party/Parti populaire","Dollard-Des Ormeaux, Que./ Qc","Leadership and Financial Consultant/Consultant en leadership et en finances",711,1.3,,
"Quebec/Québec","Pierrefonds--Dollard","24056","Martin Plante Independent/Indépendant(e)","Kirkland, Que./ Qc","Self-employed/Travailleur indépendant",394,.7,,
"Quebec/Québec","Pierrefonds--Dollard","24056","Shahid Khan Independent/Indépendant(e)","Montréal, Que./ Qc","Real Estate Broker/Courtier immobilier",242,.4,,
"Quebec/Québec","Pontiac","24057","William Amos ** Liberal/Libéral","Chelsea, Que./ Qc","Parliamentarian/Parlementaire",30217,48.9,     19801,  32.0
"Quebec/Québec","Pontiac","24057","Dave Blackburn Conservative/Conservateur","Gatineau, Que./ Qc","Associate Professor and University Researcher/Professeur agrégé et chercheur universitaire",10416,16.8,,
"Quebec/Québec","Pontiac","24057","Jonathan Carreiro-Benoit Bloc Québécois/Bloc Québécois","Cantley, Que./ Qc","Student/Étudiant",9929,16.1,,
"Quebec/Québec","Pontiac","24057","Denise Giroux NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Cantley, Que./ Qc","Lawyer/Avocate",6503,10.5,,
"Quebec/Québec","Pontiac","24057","Claude Bertrand Green Party/Parti Vert","La Pêche, Que./ Qc","Retired/Retraité",3762,6.1,,
"Quebec/Québec","Pontiac","24057","Mario Belec People's Party/Parti populaire","Gatineau, Que./ Qc","Urban Driver/Chauffeur urbain",775,1.3,,
"Quebec/Québec","Pontiac","24057","Shawn Stewart VCP/CAC","Bryson, Que./ Qc","Retired/Retraité",194,.3,,
"Quebec/Québec","Pontiac","24057","Louis Lang ML/ML","Gatineau, Que./ Qc","Postal Worker (Retired)/Travailleur des postes à la retraite",51,.1,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Joël Godin ** Conservative/Conservateur","Saint-Augustin-de-Desmaures, Que./ Qc","Parliamentarian/Parlementaire",28110,43.5,     12403,  19.2
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Mathieu Bonsaint Bloc Québécois/Bloc Québécois","Neuville, Que./ Qc","Forest Engineer (Retired)/Ingénieur forestier retraité",15707,24.3,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Annie Talbot Liberal/Libéral","Québec, Que./ Qc","Manager/Gestionnaire",12876,19.9,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","David-Roger Gagnon NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal-Ouest, Que./ Qc","Spiritual Life and Commitment Facilitator/Animateur de vie spirituelle et engagement",3758,5.8,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Marie-Claude Gaudet Green Party/Parti Vert","Shawinigan, Que./ Qc","Saleswoman/Vendeuse",2308,3.6,,
"Quebec/Québec","Portneuf--Jacques-Cartier","24058","Luca Abbatiello People's Party/Parti populaire","Québec, Que./ Qc","President and Manager of Businesses/Président et gestionnaire d'entreprise",1915,3,,
"Quebec/Québec","Québec","24059","Jean-Yves Duclos ** Liberal/Libéral","Québec, Que./ Qc","Parliamentarian/Parlementaire",18047,33.3,       325,   0.6
"Quebec/Québec","Québec","24059","Christiane Gagnon Bloc Québécois/Bloc Québécois","Québec, Que./ Qc","Retired/Retraitée",17722,32.7,,
"Quebec/Québec","Québec","24059","Bianca Boutin Conservative/Conservateur","Québec, Que./ Qc","Communication Advisor/Conseillère en communication",8118,15,,
"Quebec/Québec","Québec","24059","Tommy Bureau NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Québec, Que./ Qc","Counsellor/Conseiller",6220,11.5,,
"Quebec/Québec","Québec","24059","Luc Joli-Coeur Green Party/Parti Vert","Québec, Que./ Qc","Economist/Économiste",2949,5.4,,
"Quebec/Québec","Québec","24059","Bruno Dabiré People's Party/Parti populaire","Québec, Que./ Qc","Tax Audit Advisor/Conseiller en vérification fiscale",674,1.2,,
"Quebec/Québec","Québec","24059","Sébastien CoRhino Parti Rhinocéros Party/Parti Rhinocéros Party","Saint-Donat, Que./ Qc","Rapper/Rappeur",349,.6,,
"Quebec/Québec","Québec","24059","Luc Paquin Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Québec, Que./ Qc","Chartered Accountant (Retired)/Expert comptable retraité",119,.2,,
"Quebec/Québec","Repentigny","24060","Monique Pauzé ** Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Parliamentarian/Parlementaire",34837,53.2,     16726,  25.6
"Quebec/Québec","Repentigny","24060","Josée Larose Liberal/Libéral","Repentigny, Que./ Qc","Finance Director, Manager/Directrice des finances et gestionnaire",18111,27.7,,
"Quebec/Québec","Repentigny","24060","Pierre Branchaud Conservative/Conservateur","Repentigny, Que./ Qc","Chartered Real Estate Broker/Courtier immobilier agréé",4878,7.5,,
"Quebec/Québec","Repentigny","24060","Meryem Benslimane NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Equity Education Advisor/Conseillère d'éducation en équité",4470,6.8,,
"Quebec/Québec","Repentigny","24060","Diane Beauregard Green Party/Parti Vert","Montréal, Que./ Qc","Retired/Retraitée",2289,3.5,,
"Quebec/Québec","Repentigny","24060","Samuel Saint-Laurent People's Party/Parti populaire","L'Assomption, Que./ Qc","Banker/Banquier",524,.8,,
"Quebec/Québec","Repentigny","24060","Micheline Boucher Granger Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Laval, Que./ Qc","Retired Doctor/Médecin retraitée",347,.5,,
"Quebec/Québec","Richmond--Arthabaska","24061","Alain Rayes ** Conservative/Conservateur","Victoriaville, Que./ Qc","Parliamentarian/Parlementaire",26553,45.3,     10014,  17.1
"Quebec/Québec","Richmond--Arthabaska","24061","Olivier Nolin Bloc Québécois/Bloc Québécois","Victoriaville, Que./ Qc","Lifeguard/Surveillant-sauveteur",16539,28.2,,
"Quebec/Québec","Richmond--Arthabaska","24061","Marc Patry Liberal/Libéral","Vaudreuil-Dorion, Que./ Qc","Businessman/Engineer/Homme d'affaires, ingénieur",8868,15.1,,
"Quebec/Québec","Richmond--Arthabaska","24061","Laura Horth-Lepage Green Party/Parti Vert","Victoriaville, Que./ Qc","Project Manager/Chargée de projet",3133,5.3,,
"Quebec/Québec","Richmond--Arthabaska","24061","Olivier Guérin NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Political Attaché/Attaché politique",2864,4.9,,
"Quebec/Québec","Richmond--Arthabaska","24061","Jean Landry People's Party/Parti populaire","Saint-Valère, Que./ Qc","Former Parliamentarian/Ancien parlementaire",681,1.2,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Maxime Blanchette-Joncas Bloc Québécois/Bloc Québécois","Rimouski, Que./ Qc","Administrator/Administrateur",17314,37.8,      4264,   9.3
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Guy Caron ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Rimouski, Que./ Qc","Parliamentarian/Parlementaire",13050,28.5,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Chantal Pilon Liberal/Libéral","Rimouski, Que./ Qc","Entrepreneur/Entrepreneure",10095,22.1,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Nancy Brassard-Fortin Conservative/Conservateur","Gatineau, Que./ Qc","Executive Assistant/Adjointe exécutive",4073,8.9,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Jocelyn Rioux Green Party/Parti Vert","Pointe-à-la-Croix, Que./ Qc","Cook/Cuisinier",824,1.8,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Pierre Lacombe People's Party/Parti populaire","Repentigny, Que./ Qc","Truck Driver/Camionneur",232,.5,,
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques","24018","Lysane Picker-Paquin Parti Rhinocéros Party/Parti Rhinocéros Party","Saint-Anaclet-de-Lessard, Que./ Qc","Popular Literacy Trainer/Formatrice en alphabétisation populaire",179,.4,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Luc Desilets Bloc Québécois/Bloc Québécois","Rosemère, Que./ Qc","School Principal/Directeur d'école",23629,40.6,      2620,   4.5
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Linda Lapointe ** Liberal/Libéral","Boisbriand, Que./ Qc","Parliamentarian/Parlementaire",21009,36.1,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Joseph Hakizimana NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Mirabel, Que./ Qc","Manager/Gestionnaire",5002,8.6,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Maikel Mikhael Conservative/Conservateur","Saint-Eustache, Que./ Qc","Business Analyst and Team Leader/Analyste commercial et chef d'équipe",4684,8.1,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Ceylan Borgers Green Party/Parti Vert","Montréal, Que./ Qc","Student/Étudiante",3015,5.2,,
"Quebec/Québec","Rivière-des-Mille-Îles","24062","Hans Roker Jr People's Party/Parti populaire","Saint-Eustache, Que./ Qc","Employee of the Société de Transport de Laval/Employé de la Société de transport de Laval",845,1.5,,
"Quebec/Québec","Rivière-du-Nord","24063","Rhéal Fortin ** Bloc Québécois/Bloc Québécois","Saint-Sauveur-des-Monts, Que./ Qc","Parliamentarian/Parlementaire",31281,52,     17879,  29.7
"Quebec/Québec","Rivière-du-Nord","24063","Florence Gagnon Liberal/Libéral","Saint-Jérôme, Que./ Qc","Consultant (Self-employed)/Consultante (travailleuse autonome)",13402,22.3,,
"Quebec/Québec","Rivière-du-Nord","24063","Sylvie Fréchette Conservative/Conservateur","Prévost, Que./ Qc","Speaker and Trainer/Entraîneure conférencière",7120,11.8,,
"Quebec/Québec","Rivière-du-Nord","24063","Myriam Ouellette NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Jérôme, Que./ Qc","Secretary/Secrétaire",4194,7,,
"Quebec/Québec","Rivière-du-Nord","24063","Joey Leckman Green Party/Parti Vert","Prévost, Que./ Qc","CSTJ Sustainable Development Advisor/Conseiller en développement durable CSTJ",3345,5.6,,
"Quebec/Québec","Rivière-du-Nord","24063","Normand Michaud People's Party/Parti populaire","Saint-Jérôme, Que./ Qc","Educator/Instructor/Éducateur-instructeur",407,.7,,
"Quebec/Québec","Rivière-du-Nord","24063","Nicolas Riqueur-Lainé Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Saint-Eustache, Que./ Qc","Person on the Field During Events/Personne de terrain en événementiel",225,.4,,
"Quebec/Québec","Rivière-du-Nord","24063","Lucie St-Gelais Independent/Indépendant(e)","Saint-Jérôme, Que./ Qc","Interior Designer/Design intérieur",127,.2,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Alexandre Boulerice ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Parliamentarian/Parlementaire",25575,42.5,     10999,  18.3
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Geneviève Hinse Liberal/Libéral","Montréal, Que./ Qc","Director of Communications/Directrice des communications",14576,24.2,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Claude André Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Professor/Professeur",14306,23.8,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Jean Désy Green Party/Parti Vert","Montréal, Que./ Qc","Health and Safety Representative/Représentant en santé et sécurité au travail",3539,5.9,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Johanna Sarfati Conservative/Conservateur","Côte-Saint-Luc, Que./ Qc","Lawyer/Avocate",1405,2.3,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Jos Guitare Lavoie Parti Rhinocéros Party/Parti Rhinocéros Party","Montréal, Que./ Qc","Musician/Musicien",346,.6,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Bobby Pellerin People's Party/Parti populaire","Notre-Dame-des-Prairies, Que./ Qc","Businessman/Homme d'affaires",293,.5,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Normand Raymond Communist/Communiste","Montréal, Que./ Qc","Certified Translator/Traducteur agréé",86,.1,,
"Quebec/Québec","Rosemont--La Petite-Patrie","24064","Gisèle Desrochers ML/ML","Québec, Que./ Qc","Laundry Attendant (Retired)/Préposée à la buanderie retraitée",80,.1,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Simon-Pierre Savard-Tremblay Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Socio-economist/Socio-économiste",23143,41.4,     11240,  20.1
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","René Vincelette Liberal/Libéral","Saint-Hyacinthe, Que./ Qc","Senior Human Resources Executive/Cadre supérieur en ressources humaines",11903,21.3,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Brigitte Sansoucy ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Hyacinthe, Que./ Qc","Parliamentarian/Parlementaire",10297,18.4,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Bernard Barré Conservative/Conservateur","Saint-Hyacinthe, Que./ Qc","Boxing Specialist/Spécialiste de boxe",8062,14.4,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Sabrina Huet-Côté Green Party/Parti Vert","Greenfield Park, Que./ Qc","Student/Étudiante",2031,3.6,,
"Quebec/Québec","Saint-Hyacinthe--Bagot","24066","Jean-François Bélanger People's Party/Parti populaire","Plessisville, Que./ Qc","Truck Driver/Camionneur",478,.9,,
"Quebec/Québec","Saint-Jean","24067","Christine Normandin Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Lawyer/Avocate",27750,44.8,      8844,  14.3
"Quebec/Québec","Saint-Jean","24067","Jean Rioux ** Liberal/Libéral","Saint-Jean-sur-Richelieu, Que./ Qc","Parliamentarian/Parlementaire",18906,30.6,,
"Quebec/Québec","Saint-Jean","24067","Martin Thibert Conservative/Conservateur","Saint-Sébastien, Que./ Qc","Mechanic/Mécanicien",6612,10.7,,
"Quebec/Québec","Saint-Jean","24067","Chantal Reeves NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Communications Officer/Agente de communications",4794,7.7,,
"Quebec/Québec","Saint-Jean","24067","André-Philippe Chenail Green Party/Parti Vert","Saint-Jean, Que./ Qc","Executive director/Directeur exécutif",3127,5.1,,
"Quebec/Québec","Saint-Jean","24067","Marc Hivon People's Party/Parti populaire","Saint-Jean-sur-Richelieu, Que./ Qc","Electronic Monitoring Technician/Technicien en surveillance électronique",397,.6,,
"Quebec/Québec","Saint-Jean","24067","Yvon Savary Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Saint-Jean-sur-Richelieu, Que./ Qc","Accountant/Comptable",289,.5,,
"Quebec/Québec","Saint-Laurent","24068","Emmanuella Lambropoulos ** Liberal/Libéral","Montréal, Que./ Qc","Parliamentarian/Parlementaire",23527,58.6,     16522,  41.2
"Quebec/Québec","Saint-Laurent","24068","Richard Serour Conservative/Conservateur","Montréal, Que./ Qc","President, Canadian Immigration Council/Président du Conseil canadien de l'immigration",7005,17.4,,
"Quebec/Québec","Saint-Laurent","24068","Miranda Gallo NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Laurent, Que./ Qc","Campaign Coordinator and Research Analyst/Coordonnateur de campagne et analyste de recherche",4065,10.1,,
"Quebec/Québec","Saint-Laurent","24068","Thérèse Miljours Bloc Québécois/Bloc Québécois","Saint-Jérôme, Que./ Qc","Retired/Retraitée",2845,7.1,,
"Quebec/Québec","Saint-Laurent","24068","Georgia Kokotsis Green Party/Parti Vert","Mont-Royal, Que./ Qc","Consultant/Consultante",2150,5.4,,
"Quebec/Québec","Saint-Laurent","24068","Christopher Mikus People's Party/Parti populaire","Montréal, Que./ Qc","Student/Étudiant",484,1.2,,
"Quebec/Québec","Saint-Laurent","24068","Ginette Boutet ML/ML","Sainte-Thècle, Que./ Qc","Retired/Retraitée",71,.2,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Patricia Lattanzio Liberal/Libéral","Saint-Léonard, Que./ Qc","Lawyer/Avocate",27866,61.3,     22443,  49.4
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Ilario Maiolo Conservative/Conservateur","Longueuil, Que./ Qc","Lawyer/Avocat",5423,11.9,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Dominique Mougin Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Retired/Retraité",4351,9.6,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Hassan Guillet Independent/Indépendant(e)","Saint-Rémi, Que./ Qc","Engineer/Ingénieur",3061,6.7,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Paulina Ayala NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Secondary School Teacher/Enseignement au secondaire",2964,6.5,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Alessandra Szilagyi Green Party/Parti Vert","Montréal, Que./ Qc","Mobilization Officer in Urban Agriculture/Agente de mobilisation en agriculture urbaine",1183,2.6,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Tina Di Serio People's Party/Parti populaire","Saint-Léonard, Que./ Qc","Event Planner/Organisatrice d'événements",501,1.1,,
"Quebec/Québec","Saint-Léonard--Saint-Michel","24069","Garnet Colly ML/ML","Montréal, Que./ Qc","Flight Attendant/Agent de bord",85,.2,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","François-Philippe Champagne ** Liberal/Libéral","Shawinigan, Que./ Qc","Parliamentarian/Parlementaire",23104,39.6,      3154,   5.4
"Quebec/Québec","Saint-Maurice--Champlain","24070","Nicole Morin Bloc Québécois/Bloc Québécois","Trois-Rivières, Que./ Qc","Self-employed, Management/Travailleuse autonome en administration",19950,34.2,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Bruno-Pier Courchesne Conservative/Conservateur","Trois-Rivières, Que./ Qc","Financial Advisor in Wealth Management/Conseiller financier en gestion de patrimoine",9542,16.3,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Barthélémy Boisguérin NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Web Project Manager/Chargé de projets Web",3071,5.3,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Stéphanie Dufresne Green Party/Parti Vert","Saint-Étienne-des-Grès, Que./ Qc","Geographer/Géographe",1809,3.1,,
"Quebec/Québec","Saint-Maurice--Champlain","24070","Julie Déziel People's Party/Parti populaire","Shawinigan, Que./ Qc","Labourer/Manoeuvre",938,1.6,,
"Quebec/Québec","Salaberry--Suroît","24071","Claude Debellefeuille Bloc Québécois/Bloc Québécois","Ormstown, Que./ Qc","Social Worker/Travailleuse sociale",29975,47.7,     11293,  18.0
"Quebec/Québec","Salaberry--Suroît","24071","Marc Faubert Liberal/Libéral","Saint-Anicet, Que./ Qc","Golf Course Owner/Propriétaire de terrain de golf",18682,29.7,,
"Quebec/Québec","Salaberry--Suroît","24071","Cynthia Larivière Conservative/Conservateur","Léry, Que./ Qc","President, Investments Expressa Inc./Présidente, Placements ExpressA inc.",6116,9.7,,
"Quebec/Québec","Salaberry--Suroît","24071","Joan Gottman NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Très-Saint-Rédempteur, Que./ Qc","Yoga Teacher/Professeure de yoga",5024,8,,
"Quebec/Québec","Salaberry--Suroît","24071","Nahed AlShawa Green Party/Parti Vert","Montréal, Que./ Qc","Author/Publisher/Auteure et éditrice",1997,3.2,,
"Quebec/Québec","Salaberry--Suroît","24071","Alain Savard People's Party/Parti populaire","Beauharnois, Que./ Qc","Retired/Retraité",767,1.2,,
"Quebec/Québec","Salaberry--Suroît","24071","Luc Bertrand Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Beauharnois, Que./ Qc","Retired/Retraité",342,.5,,
"Quebec/Québec","Shefford","24072","Andréanne Larouche Bloc Québécois/Bloc Québécois","Cowansville, Que./ Qc","Project Manager/Gestionnaire de projet",23503,38.6,       898,   1.5
"Quebec/Québec","Shefford","24072","Pierre Breton ** Liberal/Libéral","Granby, Que./ Qc","Parliamentarian/Parlementaire",22605,37.1,,
"Quebec/Québec","Shefford","24072","Nathalie Clermont Conservative/Conservateur","Bromont, Que./ Qc","Dentist/Dentiste",7495,12.3,,
"Quebec/Québec","Shefford","24072","Raymonde Plamondon NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Saint-Valérien-de-Milton, Que./ Qc","Accounting Secretary/Secrétaire comptable",3705,6.1,,
"Quebec/Québec","Shefford","24072","Katherine Turgeon Green Party/Parti Vert","Courcelles, Que./ Qc","Farmer/Agricultrice",2814,4.6,,
"Quebec/Québec","Shefford","24072","Mariam Sabbagh People's Party/Parti populaire","Shefford, Que./ Qc","Supervisor/Surveillante",497,.8,,
"Quebec/Québec","Shefford","24072","Darlène Daviault Pour l'Indépendance du Québec/Pour l'Indépendance du Québec","Saint-Jean-Baptiste, Que./ Qc","Personal Support Worker/Préposée aux bénéficiaires",294,.5,,
"Quebec/Québec","Sherbrooke","24073","Élisabeth Brière Liberal/Libéral","Sherbrooke, Que./ Qc","Notary/Notaire",17490,29.3,       609,   1.0
"Quebec/Québec","Sherbrooke","24073","Pierre-Luc Dusseault ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Sherbrooke, Que./ Qc","Parliamentarian/Parlementaire",16881,28.3,,
"Quebec/Québec","Sherbrooke","24073","Claude Forgues Bloc Québécois/Bloc Québécois","Sherbrooke, Que./ Qc","Retired/Retraité",15470,25.9,,
"Quebec/Québec","Sherbrooke","24073","Dany Sévigny Conservative/Conservateur","Sherbrooke, Que./ Qc","Businessman/Homme d'affaires",6362,10.7,,
"Quebec/Québec","Sherbrooke","24073","Mathieu Morin Green Party/Parti Vert","Sherbrooke, Que./ Qc","Student/Étudiant",2716,4.5,,
"Quebec/Québec","Sherbrooke","24073","Edwin Moreno Independent/Indépendant(e)","Sherbrooke, Que./ Qc","Political Scientist/Politologue",471,.8,,
"Quebec/Québec","Sherbrooke","24073","Steve Côté Parti Rhinocéros Party/Parti Rhinocéros Party","Sherbrooke, Que./ Qc","Futurist/Futuriste",219,.4,,
"Quebec/Québec","Sherbrooke","24073","Hubert Richard No Affiliation/Aucune appartenance","Sherbrooke, Que./ Qc","Environmental Activist/Militant en environnement",117,.2,,
"Quebec/Québec","Terrebonne","24075","Michel Boudrias ** Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Parliamentarian/Parlementaire",31029,50.6,     13085,  21.3
"Quebec/Québec","Terrebonne","24075","Frédéric Beauchemin Liberal/Libéral","Terrebonne, Que./ Qc","Banker/Banquier",17944,29.3,,
"Quebec/Québec","Terrebonne","24075","France Gagnon Conservative/Conservateur","Saint-Jérôme, Que./ Qc","Administrative Director/Directrice administrative",4640,7.6,,
"Quebec/Québec","Terrebonne","24075","Maxime Beaudoin NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Montréal, Que./ Qc","Union Advisor/Conseiller syndical",4627,7.5,,
"Quebec/Québec","Terrebonne","24075","Réjean Monette Green Party/Parti Vert","Terrebonne, Que./ Qc","Manager/Gestionnaire",2277,3.7,,
"Quebec/Québec","Terrebonne","24075","Jeffrey Barnes People's Party/Parti populaire","Terrebonne, Que./ Qc","Welder-fitter/Soudeur assembleur",399,.7,,
"Quebec/Québec","Terrebonne","24075","Paul Vézina Parti Rhinocéros Party/Parti Rhinocéros Party","Terrebonne, Que./ Qc","Student/Étudiant",260,.4,,
"Quebec/Québec","Terrebonne","24075","Jade Hébert Independent/Indépendant(e)","Terrebonne, Que./ Qc","Marketing Director/Directrice marketing",159,.3,,
"Quebec/Québec","Thérèse-De Blainville","24013","Louise Chabot Bloc Québécois/Bloc Québécois","Saint-Mathieu-du-Parc, Que./ Qc","Retired/Retraitée",24486,41.8,      3498,   6.0
"Quebec/Québec","Thérèse-De Blainville","24013","Ramez Ayoub ** Liberal/Libéral","Lorraine, Que./ Qc","Member of Parliament/Député",20988,35.8,,
"Quebec/Québec","Thérèse-De Blainville","24013","Marie Claude Fournier Conservative/Conservateur","LaSalle, Que./ Qc","Notary/Notaire",5264,9,,
"Quebec/Québec","Thérèse-De Blainville","24013","Hannah Wolker NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Kanesatake, Que./ Qc","Cashier, Walmart/Caissière au Walmart",4431,7.6,,
"Quebec/Québec","Thérèse-De Blainville","24013","Normand Beaudet Green Party/Parti Vert","Blainville, Que./ Qc","Manager, Non-profit Organization/Gestionnaire d'un organisme à but non lucratif",2710,4.6,,
"Quebec/Québec","Thérèse-De Blainville","24013","Désiré Mounanga People's Party/Parti populaire","Blainville, Que./ Qc","Pastor/Pasteur",366,.6,,
"Quebec/Québec","Thérèse-De Blainville","24013","Alain Lamontagne Parti Rhinocéros Party/Parti Rhinocéros Party","Sainte-Thérèse, Que./ Qc","Retired/Retraité",215,.4,,
"Quebec/Québec","Thérèse-De Blainville","24013","Andy Piano Independent/Indépendant(e)","Saint-Eustache, Que./ Qc","General Contractor/Entrepreneur général",89,.2,,
"Quebec/Québec","Trois-Rivières","24076","Louise Charbonneau Bloc Québécois/Bloc Québécois","Trois-Rivières, Que./ Qc","Teacher (Retired)/Retraitée de l'enseignement",17240,28.5,      1466,   2.4
"Quebec/Québec","Trois-Rivières","24076","Valérie Renaud-Martin Liberal/Libéral","Trois-Rivières, Que./ Qc","City Councillor/Conseillère municipale",15774,26.1,,
"Quebec/Québec","Trois-Rivières","24076","Yves Lévesque Conservative/Conservateur","Trois-Rivières, Que./ Qc","Merchant Navy Captain/Capitaine de marine marchande",15240,25.2,,
"Quebec/Québec","Trois-Rivières","24076","Robert Aubin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Trois-Rivières, Que./ Qc","Parliamentarian/Parlementaire",10090,16.7,,
"Quebec/Québec","Trois-Rivières","24076","Marie Duplessis Green Party/Parti Vert","Trois-Rivières, Que./ Qc","Agricultural Worker/Travailleuse agricole",1492,2.5,,
"Quebec/Québec","Trois-Rivières","24076","Marc André Gingras People's Party/Parti populaire","Montréal-Nord, Que./ Qc","Pipefitter/Tuyauteur",565,.9,,
"Quebec/Québec","Trois-Rivières","24076","Ronald St-Onge Lynch Independent/Indépendant(e)","Trois-Rivières, Que./ Qc","Self-employed/Travailleur autonome",137,.2,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Peter Schiefke ** Liberal/Libéral","Vaudreuil-sur-le-Lac, Que./ Qc","Parliamentarian/Parlementaire",32254,47.3,     15654,  23.0
"Quebec/Québec","Vaudreuil--Soulanges","24074","Noémie Rouillard Bloc Québécois/Bloc Québécois","Montréal, Que./ Qc","Lawyer/Avocate",16600,24.4,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Karen Cox Conservative/Conservateur","Terrebonne, Que./ Qc","Business Development Manager/Directrice du développement d'entreprise",7804,11.5,,
"Quebec/Québec","Vaudreuil--Soulanges","24074","Amanda MacDonald NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Hudson, Que./ Qc","Comedian/Comédienne",7368,10.8,,
